change,close,date,high,long_openIntr,low,open,open_interest,pre_settle,settle,short_openIntr,turnover,volume,pre_netPosition,signal,netPosition,netchange
23,2243,20150106,2263,772200,2212,2220,862134,2217,2241,788048,2863370.81,1277816,-14612,-1,-15848,-1236
-7,2244,20150107,2269,791944,2234,2251,888732,2241,2252,802528,3037437.21,1348504,-15848,1,-10584,5264
9,2257,20150108,2265,768756,2238,2248,882012,2252,2250,797984,2571056.2,1142558,-10584,-1,-29228,-18644
-27,2230,20150109,2267,816910,2223,2257,925856,2250,2242,862786,3186766.79,1421152,-29228,0,-45876,-16648
-1,2231,20150112,2243,808116,2225,2232,904518,2242,2233,846936,1964383.58,879768,-45876,1,-38820,7056
-31,2195,20150113,2236,904918,2169,2226,981434,2233,2198,923608,2926281.4,1331602,-38820,1,-18690,20130
-58,2129,20150114,2198,961998,2126,2187,1000516,2198,2157,950114,3715924.85,1722766,-18690,1,11884,30574
26,2154,20150115,2162,927696,2110,2128,954094,2157,2140,907992,3038974.05,1419910,11884,0,19704,7820
-21,2132,20150116,2169,975262,2107,2153,1029920,2140,2133,961258,4044479.84,1895974,19704,0,14004,-5700
-30,2108,20150119,2167,801768,2061,2138,919774,2133,2118,900812,5846402.36,2760126,14004,0,-99044,-113048
-2,2108,20150120,2116,806334,2081,2110,920812,2118,2099,900600,4227853.61,2013796,-99044,1,-94266,4778
35,2141,20150121,2162,813204,2095,2106,971446,2099,2130,928848,5772235.75,2710326,-94266,-1,-115644,-21378
16,2152,20150122,2168,832678,2133,2136,995964,2130,2154,928992,3483409.86,1617230,-115644,0,-96314,19330
-31,2133,20150123,2164,886120,2115,2164,1032376,2154,2131,931390,3518985.94,1651454,-96314,1,-45270,51044
3,2128,20150126,2139,881370,2100,2125,1044194,2131,2121,934216,3541482.76,1669960,-45270,-1,-52846,-7576
14,2142,20150127,2165,834216,2121,2128,960232,2121,2144,919952,4198131.82,1958020,-52846,-1,-85736,-32890
-22,2125,20150128,2154,808804,2117,2147,948014,2144,2134,897374,3881151.78,1819114,-85736,0,-88570,-2834
1,2120,20150129,2129,823324,2108,2119,968860,2134,2116,900972,3098776.31,1464150,-88570,0,-77648,10922
14,2131,20150130,2138,808456,2113,2117,916972,2116,2127,878332,3256942.79,1531216,-77648,0,-69876,7772
-31,2099,20150202,2131,877962,2087,2130,1016280,2127,2105,909962,4312829.36,2048912,-69876,1,-32000,37876
33,2137,20150203,2146,809046,2100,2104,931860,2105,2125,867966,3911260.09,1841010,-32000,-1,-58920,-26920
12,2158,20150204,2196,724970,2131,2146,810250,2125,2163,806800,3733589.08,1725790,-58920,-1,-81830,-22910
-3,2160,20150205,2171,729260,2146,2163,812122,2163,2159,817452,3021974.78,1400000,-81830,0,-88192,-6362
4,2168,20150206,2184,731046,2161,2164,813976,2159,2172,849694,2939574.3,1353480,-88192,-1,-118648,-30456
10,2182,20150209,2183,741494,2152,2172,811744,2172,2168,852630,2689568.65,1240502,-118648,0,-111136,7512
10,2187,20150210,2202,756736,2173,2177,812872,2168,2188,857124,2947877.87,1347078,-111136,0,-100388,10748
6,2188,20150211,2194,760024,2168,2182,788192,2188,2182,861920,2544931.57,1166534,-100388,-1,-101896,-1508
3,2186,20150212,2189,750236,2174,2183,729996,2182,2183,845598,1588466.12,727658,-101896,0,-95362,6534
56,2248,20150213,2249,716794,2186,2192,746810,2183,2219,849768,3399711.01,1532026,-95362,-1,-132974,-37612
17,2261,20150216,2275,692536,2241,2244,694120,2219,2259,841072,2495049.94,1104356,-132974,-1,-148536,-15562
21,2279,20150217,2293,678132,2250,2258,659016,2259,2267,839702,1431365.5,631366,-148536,-1,-161570,-13034
-7,2298,20150225,2320,679090,2285,2305,646864,2267,2302,842460,1299288.31,564534,-161570,0,-163370,-1800
28,2323,20150226,2331,783648,2293,2295,706064,2302,2314,959492,2503771.16,1082050,-163370,-1,-175844,-12474
48,2376,20150227,2382,801628,2328,2328,693968,2314,2355,976428,4105372.88,1743496,-175844,0,-174800,1044
16,2295,20150302,2302,772608,2263,2279,716954,2257,2287,988802,2536461.45,1109052,-174800,-1,-216194,-41394
-50,2245,20150303,2305,731538,2232,2295,717064,2287,2267,956362,2533052.74,1117188,-216194,0,-224824,-8630
1,2248,20150304,2260,741926,2226,2247,731552,2267,2245,968686,1794932.85,799528,-224824,-1,-226760,-1936
-20,2219,20150305,2243,710204,2202,2239,729528,2245,2218,925006,1903793.59,858176,-226760,1,-214802,11958
-15,2201,20150306,2238,712888,2197,2216,766284,2218,2219,952016,1928552.34,869224,-214802,0,-239128,-24326
34,2238,20150309,2245,759720,2181,2204,829284,2219,2218,985276,2897122.36,1305996,-239128,0,-225556,13572
6,2238,20150310,2255,783336,2232,2232,898814,2218,2245,1013598,2979060.07,1326972,-225556,-1,-230262,-4706
60,2296,20150311,2325,937590,2214,2236,1153664,2245,2281,1171174,8510940.44,3731826,-230262,-1,-233584,-3322
22,2317,20150312,2334,1001020,2292,2295,1308258,2281,2311,1239042,7761482.15,3358374,-233584,-1,-238022,-4438
-50,2261,20150313,2332,969666,2256,2311,1322408,2311,2289,1204888,9891068.41,4320886,-238022,1,-235222,2800
-17,2238,20150316,2261,942848,2216,2255,1289148,2289,2242,1202726,6122590.73,2730750,-235222,0,-259878,-24656
-4,2242,20150317,2267,943708,2226,2246,1352232,2242,2248,1231046,5663661.19,2519030,-259878,0,-287338,-27460
-24,2210,20150318,2241,957506,2208,2234,1365306,2248,2226,1238810,4601431.83,2066958,-287338,1,-281304,6034
14,2229,20150319,2248,959120,2201,2215,1384906,2226,2228,1252694,5205959.95,2336800,-281304,-1,-293574,-12270
13,2234,20150320,2240,984774,2206,2221,1404120,2228,2223,1240644,4747630.19,2136052,-293574,0,-255870,37704
38,2273,20150323,2287,976116,2232,2235,1483566,2223,2264,1298826,6851058.37,3026586,-255870,-1,-322710,-66840
